frame 34/600	0.611s	[-1.418, 0.0, 41.749]	[1.446, 1.397, 0.615, 0.5, 0.63, 0.5, 2.793, 0.236, 0.236]	saved figure 33.png
frame 35/600	1.444s	[-1.418, 0.0, 41.749]	[1.454, 1.395, 0.631, 0.5, 0.652, 0.5, 3.129, 0.244, 0.244]	saved figure 34.png
frame 36/600	6.539s	[116.583, 0.0, -258.439]	[1.461, 1.392, 0.646, 0.5, 0.674, 0.5, 2.672, 0.251, 0.251]	saved figure 35.png
frame 37/600	0.611s	[116.583, 0.0, -258.439]	[1.468, 1.39, 0.661, 0.5, 0.696, 0.5, 2.246, 0.258, 0.258]	saved figure 36.png
frame 38/600	7.178s	[-183.389, -0.0, 320.67]	[1.476, 1.387, 0.676, 0.5, 0.718, 0.5, 3.27, 0.266, 0.266]	saved figure 37.png
frame 39/600	7.796s	[10.918, -0.0, -44.942]	[1.484, 1.384, 0.692, 0.5, 0.742, 0.5, 2.975, 0.273, 0.273]	saved figure 38.png
frame 40/600	0.637s	[10.918, -0.0, -44.942]	[1.492, 1.382, 0.708, 0.5, 0.768, 0.5, 3.0, 0.281, 0.281]	saved figure 39.png
frame 41/600	0.700s	[10.918, -0.0, -44.942]	[1.5, 1.379, 0.724, 0.5, 0.794, 0.5, 2.988, 0.288, 0.288]	saved figure 40.png
frame 42/600	0.621s	[10.918, -0.0, -44.942]	[1.508, 1.376, 0.74, 0.5, 0.82, 0.5, 2.938, 0.296, 0.296]	saved figure 41.png
frame 43/600	0.629s	[10.918, -0.0, -44.941]	[1.515, 1.373, 0.756, 0.5, 0.847, 0.5, 2.85, 0.303, 0.303]	saved figure 42.png
frame 44/600	0.653s	[10.918, -0.0, -44.941]	[1.522, 1.37, 0.772, 0.5, 0.873, 0.5, 2.725, 0.311, 0.311]	saved figure 43.png
frame 45/600	7.259s	[-21.039, 0.005, 367.163]	[1.53, 1.367, 0.788, 0.5, 0.901, 0.5, 3.521, 0.319, 0.319]	saved figure 44.png
frame 46/600	7.372s	[45.433, -0.001, -1.447]	[1.539, 1.364, 0.804, 0.5, 0.93, 0.5, 3.372, 0.326, 0.326]	saved figure 45.png
frame 47/600	1.154s	[45.433, -0.001, -1.447]	[1.549, 1.361, 0.819, 0.5, 0.96, 0.5, 3.524, 0.334, 0.334]	saved figure 46.png
frame 48/600	1.257s	[45.433, -0.001, -1.447]	[1.561, 1.357, 0.833, 0.5, 0.991, 0.5, 3.672, 0.342, 0.342]	saved figure 47.png
frame 49/600	4.741s	[-172.876, 0.005, -37.433]	[1.573, 1.354, 0.847, 0.5, 1.024, 0.5, 3.931, 0.349, 0.349]	saved figure 48.png
frame 50/600	3.277s	[3.736, -0.002, -7.585]	[1.586, 1.35, 0.862, 0.5, 1.058, 0.5, 4.069, 0.357, 0.357]	saved figure 49.png
