frame 1/300	mpc_controller.times[-1]=0.773569s	[1.436044195379287, 1.4360441923432299, 0.5000000234307997, 0.5, 1.3995377913774754e-08, 0.0, 0.012519591616315114, 0.012523794555765574, 0.012523794555765574]	saved figure 0.png
frame 2/300	mpc_controller.times[-1]=1.857064s	[1.4359189670472339, 1.4359189543976723, 0.500000097360529, 0.5, 5.822216224611078e-08, 0.0, 0.018818961529957795, 0.018828032169503708, 0.018828032169503708]	saved figure 1.png
frame 3/300	mpc_controller.times[-1]=1.531853s	[1.4357307108759232, 1.4357306740759772, 0.5000002762394589, 0.5, 1.670119055901479e-07, 0.0, 0.02513990512254058, 0.025160666262232418, 0.025160666262232418]	saved figure 2.png
frame 4/300	mpc_controller.times[-1]=1.114948s	[1.43547915156008, 1.4354790674133548, 0.5000006189879846, 0.5, 3.776079449376371e-07, 0.0, 0.03148689412608923, 0.031521824741570115, 0.031521824741570115]	saved figure 3.png
frame 5/300	mpc_controller.times[-1]=1.698159s	[1.4351640186789445, 1.435163849165939, 0.5000012161451488, 0.5, 7.50272879026766e-07, 0.0, 0.037852226424985654, 0.03791163609127561, 0.03791163609127561]	saved figure 4.png
frame 6/300	mpc_controller.times[-1]=2.546276s	[1.4347850414907342, 1.4347847328050265, 0.5000021637178886, 0.5, 1.3490460506297708e-06, 0.0, 0.044241527797664916, 0.04433022937384326, 0.04433022937384326]	saved figure 5.png
frame 7/300	mpc_controller.times[-1]=3.141995s	[1.434341956286407, 1.434341430511288, 0.5000035938377418, 0.5, 2.266829505983333e-06, 0.0, 0.05064513517003909, 0.05077773423310978, 0.05077773423310978]	saved figure 6.png
frame 8/300	mpc_controller.times[-1]=1.569443s	[1.433834499329844, 1.4338336531689568, 0.5000056451552921, 0.5, 3.6012688576420905e-06, 0.0, 0.05707005442461732, 0.05725428089687282, 0.05725428089687282]	saved figure 7.png
frame 9/300	mpc_controller.times[-1]=0.594458s	[1.4332624165263603, 1.4332611103599882, 0.5000084972242862, 0.5, 5.485729495906776e-06, 0.0, 0.0635043106575335, 0.06376000017952133, 0.06376000017952133]	saved figure 8.png
frame 10/300	mpc_controller.times[-1]=0.562328s	[1.4326254541454744, 1.432623510358193, 0.5000123373323733, 0.5, 8.059537844929115e-06, 0.0, 0.06995650863373672, 0.07029502348467777, 0.07029502348467777]	saved figure 9.png
frame 11/300	mpc_controller.times[-1]=1.613122s	[1.4319233712205235, 1.4319205601233462, 0.5000173986945269, 0.5, 1.1505708414554644e-05, 0.0, 0.07641202144086409, 0.07685948280785222, 0.07685948280785222]	saved figure 10.png
frame 12/300	mpc_controller.times[-1]=1.388349s	[1.4311559275874026, 1.4311519652952676, 0.5000239235532729, 0.5, 1.601455598009005e-05, 0.0, 0.08288132447489878, 0.08345351073910845, 0.08345351073910845]	saved figure 11.png
frame 13/300	mpc_controller.times[-1]=0.659981s	[1.4303228995231207, 1.4303174301878765, 0.5000322053625408, 0.5, 2.1829250679028002e-05, 0.0, 0.08934672967040966, 0.09007724046574199, 0.09007724046574199]	saved figure 12.png
frame 14/300	mpc_controller.times[-1]=0.619059s	[1.429424064677126, 1.4294166577832192, 0.500042548049668, 0.5, 2.920191815720171e-05, 0.0, 0.09582083599008419, 0.09673080577497027, 0.09673080577497027]	saved figure 13.png
frame 15/300	mpc_controller.times[-1]=0.701491s	[1.428459221423995, 1.4284493497254696, 0.5000553122533504, 0.5, 3.84479950883837e-05, 0.0, 0.10228251444627462, 0.10341434105663491, 0.10341434105663491]	saved figure 14.png
frame 16/300	mpc_controller.times[-1]=2.998769s	[1.4274281701303664, 1.427415206314903, 0.5000708706440105, 0.5, 4.989366865743548e-05, 0.0, 0.10874680110942334, 0.11012798130591608, 0.11012798130591608]	saved figure 15.png
frame 17/300	mpc_controller.times[-1]=0.791134s	[1.4263307368140794, 1.4263139265018439, 0.5000896583396108, 0.5, 6.394025963301665e-05, 0.0, 0.1151886693101047, 0.11687186212605924, 0.11687186212605924]	saved figure 16.png
frame 18/300	mpc_controller.times[-1]=0.568259s	[1.4251667502760754, 1.4251452078805833, 0.5001121241734492, 0.5, 8.100202283285902e-05, 0.0, 0.12162587295931389, 0.123646119731114, 0.123646119731114]	saved figure 17.png
frame 19/300	mpc_controller.times[-1]=1.427775s	[1.4239360705857393, 1.4239087466832723, 0.5001387853395689, 0.5, 0.00010158161563756166, 0.0, 0.1280290835274449, 0.13045089094868545, 0.13045089094868545]	saved figure 18.png
frame 20/300	mpc_controller.times[-1]=8.180944s	[1.422677532551383, 1.4226042377737853, 0.5002501478255046, 0.5, 0.00023118742709620985, 0.0, 0.10648284238058973, 0.13728631322269777, 0.13728631322269777]	saved figure 19.png
frame 21/300	mpc_controller.times[-1]=1.141341s	[1.4214301735770543, 1.421231374684257, 0.5005269598152677, 0.4999999997474833, 0.0005758321772963496, 1.205632815803881e-15, 0.09353670214012985, 0.14415252461615624, 0.144152524616151]	saved figure 20.png
frame 22/300	mpc_controller.times[-1]=0.572254s	[1.4202332238132342, 1.4197898495690677, 0.501050207559172, 0.49999999897306635, 0.0012420410231201023, 1.2150003225741557e-14, 0.0947020032759071, 0.15104966381386914, 0.1510496638138186]	saved figure 21.png
frame 23/300	mpc_controller.times[-1]=3.587902s	[1.419126087090308, 1.4182793531983824, 0.5019011087148886, 0.4999999973920608, 0.0023368594072796754, 5.608014053137822e-14, 0.12610638137249167, 0.15797787012518572, 0.15797787012496242]	saved figure 22.png
