frame 38/600	123s	6.460s	True	[-47.808, -0.0, 150.218]	[0.0, 0.0, 0.0]	[0.0, 0.0, 0.0]	saved figure 37.png
frame 39/600	136s	4.113s	True	[-36.89, -0.001, 105.276]	[0.0, 0.0, 0.0]	[0.0, 0.0, 0.0]	saved figure 38.png
frame 40/600	143s	0.382s	True	[-25.972, -0.001, 60.335]	[0.0, 0.0, 0.0]	[0.0, 0.0, 0.0]	saved figure 39.png
frame 41/600	145s	0.216s	True	[-15.054, -0.002, 15.393]	[0.0, 0.0, 0.0]	[0.0, 0.0, 0.0]	saved figure 40.png
frame 42/600	146s	0.214s	True	[-4.136, -0.002, -29.549]	[0.0, 0.0, 0.0]	[0.0, 0.0, 0.0]	saved figure 41.png
frame 43/600	148s	0.222s	True	[6.782, -0.003, -74.49]	[0.0, 0.0, 0.0]	[0.0, 0.0, 0.0]	saved figure 42.png
frame 44/600	151s	1.148s	True	[17.701, -0.003, -119.432]	[0.0, 0.0, 0.0]	[0.0, 0.0, 0.0]	saved figure 43.png
frame 45/600	157s	3.303s	True	[-3.339, 0.002, 247.731]	[0.0, 0.0, 0.0]	[0.0, 0.0, 0.0]	saved figure 44.png
frame 46/600	163s	2.058s	True	[42.094, 0.002, 246.285]	[0.0, 0.0, 0.0]	[0.0, 0.0, 0.0]	saved figure 45.png
frame 47/600	174s	0.281s	True	[87.527, 0.001, 244.838]	[0.0, 0.0, 0.0]	[0.0, 0.0, 0.0]	saved figure 46.png
frame 48/600	176s	0.273s	True	[132.96, -0.0, 243.391]	[0.0, 0.0, 0.0]	[0.0, 0.0, 0.0]	saved figure 47.png
frame 49/600	184s	6.285s	True	[-39.916, 0.005, 205.959]	[-0.0, -0.0, 0.0]	[0.0, 0.0, 0.0]	saved figure 48.png
frame 50/600	194s	3.670s	True	[-36.18, 0.002, 198.374]	[0.0, -0.0, 0.0]	[0.0, 0.0, 0.0]	saved figure 49.png
frame 51/600	203s	0.196s	True	[-32.443, 0.0, 190.789]	[0.0, -0.0, 0.0]	[0.0, 0.0, 0.0]	saved figure 50.png
frame 52/600	204s	0.281s	True	[-28.707, -0.002, 183.204]	[0.001, -0.0, 0.0]	[0.0, 0.0, 0.0]	saved figure 51.png
frame 53/600	206s	0.376s	True	[-24.971, -0.004, 175.62]	[0.001, -0.0, 0.0]	[0.0, 0.0, 0.0]	saved figure 52.png
frame 54/600	208s	0.198s	True	[-21.235, -0.006, 168.035]	[0.001, -0.0, 0.0]	[0.0, 0.0, 0.0]	saved figure 53.png
frame 55/600	210s	0.962s	True	[-17.499, -0.008, 160.45]	[0.001, -0.0, 0.0]	[0.0, 0.0, 0.0]	saved figure 54.png
frame 56/600	213s	0.477s	True	[-13.763, -0.01, 152.866]	[0.001, -0.0, 0.0]	[0.0, 0.0, 0.0]	saved figure 55.png
