frame 24/400	actuation=[-5.05571727 -4.88952456 14.34573956]+[-4.14634195 -5.79161627 23.04628438]	state=[0.03618321 0.03708363 0.33902426]+[-0.2496865  -0.23806876  0.22504841]	compute_time=10.984040s	n_f_eval=1400	saved figure 23.png in 19.451505s
frame 25/400	actuation=[-4.73837813 -4.61011766 12.69624628]+[-2.13835634 -3.89512397 21.21082397]	state=[0.03538492 0.03644517 0.36667056]+[-0.2683438  -0.25482533  0.25302295]	compute_time=11.120743s	n_f_eval=1400	saved figure 24.png in 21.232375s
frame 26/400	actuation=[-4.36123976 -4.27978647 10.98904785]+[-0.15699765 -2.00347223 19.3103554 ]	state=[0.03431198 0.0355422  0.39469745]+[-0.28680856 -0.27127482  0.28222227]	compute_time=11.892992s	n_f_eval=1400	saved figure 25.png in 17.508154s
frame 27/400	actuation=[-3.93536124 -3.90874954  9.22412866]+[ 1.78488646 -0.1279001  17.35013228]	state=[0.03299196 0.03439952 0.42302107]+[-0.30496923 -0.28733353  0.31250587]	compute_time=5.993374s	n_f_eval=1425	saved figure 26.png in 21.817854s
frame 28/400	actuation=[-3.4712318  -3.50653663  7.4075194 ]+[ 3.67515257  1.72074168 15.33518833]	state=[0.03145523 0.03304423 0.45155492]+[-0.32272086 -0.30292942  0.34372378]	compute_time=5.944510s	n_f_eval=1425	saved figure 27.png in 23.292110s
frame 29/400	actuation=[-2.97887943 -3.08217487  5.54933855]+[ 5.5021406  3.5319611 13.2709558]	state=[0.02973416 0.03150511 0.48021006]+[-0.33996614 -0.31800232  0.37571799]	compute_time=14.329911s	n_f_eval=1425	saved figure 28.png in 25.859460s
frame 30/400	actuation=[-2.46755682 -2.64382421  3.66237118]+[ 7.2546567   5.29539897 11.16355634]	state=[0.02786245 0.02981187 0.50889553]+[-0.35661636 -0.3325038   0.408324  ]	compute_time=10.785364s	n_f_eval=1425	saved figure 29.png in 31.791350s
frame 31/400	actuation=[-1.94571192 -2.19864897  1.76111022]+[8.92204562 7.00076591 9.02005511]	state=[0.02587441 0.02799463 0.53751892]+[-0.37259222 -0.3463967   0.44137245]	compute_time=7.826186s	n_f_eval=1375	saved figure 30.png in 28.104761s
frame 32/400	actuation=[-1.42096171 -1.75296367 -0.13918926]+[10.49422118  8.63795497  6.84865052]	state=[0.02380438 0.02608331 0.56598702]+[-0.38782438 -0.35965455  0.47469093]	compute_time=16.524835s	n_f_eval=1375	saved figure 31.png in 24.783538s
frame 33/400	actuation=[-0.90019076 -1.31200018 -2.02285073]+[11.96197995 10.19702561  4.65865935]	state=[0.02168614 0.02410722 0.59420656]+[-0.40225389 -0.37226063  0.50810567]	compute_time=6.707193s	n_f_eval=1375	saved figure 32.png in 16.744053s
